,count,references
See Prison and Prison-Discipline,1,Prison and Prison-Discipline
See Phil Trans 181a,1,Phil Trans 181a
See Lacca,1,Lacca
See Coinage,1,Coinage
See Torus,1,Torus
See Pouillet s E'emens de Physique,1,Pouillet s E'emens de Physique
"See Minutes of Evidence before the
HINDUSTAN",1,"Minutes of Evidence before the
HINDUSTAN"
See Kistna,1,Kistna
"See the
figures following",1,"the
figures following"
See an excellent paper on the Enchorial Language of Egypt,1,an excellent paper on the Enchorial Language of Egypt
See Kaarta,1,Kaarta
See Wood’s Principles of Mechanics,1,Wood’s Principles of Mechanics
See Fisheries,1,Fisheries
See a paper entitled « a Revision of the Equidie,1,a paper entitled « a Revision of the Equidie
See Atwoods Machine,1,Atwoods Machine
See § 1022,1,§ 1022
See also Dr,1,also Dr
See also Abt,1,also Abt
See Motapa,1,Motapa
See Lunacy,1,Lunacy
See Wheatley’s Observations on Modern Gardening,1,Wheatley’s Observations on Modern Gardening
"See Philosophical Magazine for April
1832",1,"Philosophical Magazine for April
1832"
See Bridgewater Treatise,1,Bridgewater Treatise
See Note DD,1,Note DD
See also Nat,1,also Nat
See Bostoek on Respiration,1,Bostoek on Respiration
See Nashe’s Survey of Worcestershire : Pitt’s Agricultural Survey; Brewer’s Worcestershire,1,Nashe’s Survey of Worcestershire : Pitt’s Agricultural Survey; Brewer’s Worcestershire
See the article Hygrometry,1,the article Hygrometry
See Dr Campbell’s Translation of the Gospels,1,Dr Campbell’s Translation of the Gospels
See Sturgeon’s Annals of Chemistry,1,Sturgeon’s Annals of Chemistry
"See also the Memoirs of the Mathema
tical Class for 1810",1,"also the Memoirs of the Mathema
tical Class for 1810"
See Episcopacy,1,Episcopacy
"See Binlio
graphy",1,"Binlio
graphy"
See Fre'zier,1,Fre'zier
See Nowogorod,1,Nowogorod
See Birch’s Hist,1,Birch’s Hist
See Du Pin,1,Du Pin
See James,1,James
See particularly the works of M,1,particularly the works of M
See Trotter’s excellent work,1,Trotter’s excellent work
See Abstraction,1,Abstraction
See Horae Entomologies,1,Horae Entomologies
See Griffith’s Report on the Leinster Coal District; and Phillips’ Introduction to Geology,1,Griffith’s Report on the Leinster Coal District; and Phillips’ Introduction to Geology
See Thucydides,1,Thucydides
See sect,1,sect
See Neas Isle,1,Neas Isle
See his Treatise on Rectilineal and Rotatory Motion,1,his Treatise on Rectilineal and Rotatory Motion
See Syncellus’ caP,1,Syncellus’ caP
See Binlia Naturce,1,Binlia Naturce
"See the article Poly
nesia",1,"the article Poly
nesia"
See Reftilia,1,Reftilia
See Professor Playfair’s Dissertation,1,Professor Playfair’s Dissertation
See on tlie 0f this section,1,on tlie 0f this section
See the article Petrarch,1,the article Petrarch
See ErptlU'Ogic Generate,1,ErptlU'Ogic Generate
See from licenses to prostitutes,1,from licenses to prostitutes
"See Arithmetic and Al
gebra",1,"Arithmetic and Al
gebra"
See Collyer’s Dictionary,1,Collyer’s Dictionary
See Grammar and Language,1,Grammar and Language
See Antiochian Sect,1,Antiochian Sect
See Saghalien,1,Saghalien
See Tabourot,1,Tabourot
See Sallier,1,Sallier
See the article Heat,1,the article Heat
See Land,1,Land
See Icihthyolo,1,Icihthyolo
"See Ma
riner’s Compass",1,"Ma
riner’s Compass"
See Felspar,1,Felspar
"See the French
Encyclopedic—planches",1,"the French
Encyclopedic—planches"
See Agriculture and Dairy,1,Agriculture and Dairy
See Incense,1,Incense
See Brahmins,1,Brahmins
See Diag,1,Diag
See Cold and Congelation,1,Cold and Congelation
See Preface to Supplement,1,Preface to Supplement
See ]\lag,1,]\lag
See Ionian Isles,1,Ionian Isles
See Part I,1,Part I
See thc article Norwege,1,thc article Norwege
See Lombards,1,Lombards
See this clearly shewn by Bochart,1,this clearly shewn by Bochart
"See Aristo
tle’s Philosophy",1,"Aristo
tle’s Philosophy"
See Hyde,1,Hyde
See the Agricultural Stale of Oxfordshire,1,the Agricultural Stale of Oxfordshire
See Sacrifice,1,Sacrifice
See Kirby in Linn,1,Kirby in Linn
See his Researches on the Physical History of Mankind,1,his Researches on the Physical History of Mankind
See the article Money,1,the article Money
See Parr’s Works,1,Parr’s Works
See Nouv,1,Nouv
See Connaissance des Jems tor iolo,1,Connaissance des Jems tor iolo
"See likewise Melius Inqui
rendum",1,"likewise Melius Inqui
rendum"
See Lcitrcs d'Egi/pte,1,Lcitrcs d'Egi/pte
"See Phy
siology and Sex",1,"Phy
siology and Sex"
See Nassau Isles,1,Nassau Isles
See B,1,B
See Wind-gage,1,Wind-gage
"See Poli
tical Economy",1,"Poli
tical Economy"
See the evidence ot J,1,the evidence ot J
See History,1,History
See Mill’s History of British India,1,Mill’s History of British India
"See Reliquien
von Albrecht Durer",1,"Reliquien
von Albrecht Durer"
See Carpentry,1,Carpentry
See Gill’s Body of Divinity,1,Gill’s Body of Divinity
See also Palladius De Be Rustica ix,1,also Palladius De Be Rustica ix
See Pitch ore,1,Pitch ore
See IcHTHYonoGY,1,IcHTHYonoGY
See Batenites,1,Batenites
See Burial,1,Burial
See article Ababia in this work,1,article Ababia in this work
See Hermes,1,Hermes
See Assaying,1,Assaying
See Piazenza,1,Piazenza
"See on this
VOL",1,"on this
VOL"
"See Lindsay’s Chronicles of
Scotland",1,"Lindsay’s Chronicles of
Scotland"
See Tiedeman,1,Tiedeman
See Biographic Unwerselle,1,Biographic Unwerselle
See Flax and Linen,1,Flax and Linen
See Rope-making,1,Rope-making
See Month,1,Month
